ano;mês;data;covid;tb
2020;jan;jan-20;0;33
2020;fev;fev-20;0;46
2020;mar;mar-20;14;33
2020;abr;abr-20;553;25
2020;mai;mai-20;2895;23
2020;jun;jun-20;5814;30
2020;jul;jul-20;6026;36
2020;ago;ago-20;4212;53
2020;set;set-20;1762;36
2020;out;out-20;3125;40
2020;nov;nov-20;3148;30
2020;dez;dez-20;4762;25
2021;jan;jan-21;4713;24
2021;fev;fev-21;2886;17
2021;mar;mar-21;3403;22
2021;abr;abr-21;4866;43
2021;mai;mai-21;3376;27
2021;jun;jun-21;3039;23
2021;jul;jul-21;2517;31
2021;ago;ago-21;1531;25
2021;set;set-21;1206;27
2021;out;out-21;1480;33
2021;nov;nov-21;1122;31
2021;dez;dez-21;229;42
